,Team_1,Team_2,Winner,Winner_Pred,Margin,Run_Margin_pred,Wick_Margin_pred,Year
313,Sri Lanka,Pakistan,Pakistan,Sri Lanka,4 Wickets,49 Runs,5 Wickets,2014
314,Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,77 Runs,59 Runs,5 Wickets,2014
315,Australia,South Africa,South Africa,Australia,7 Wickets,40 Runs,5 Wickets,2014
316,England,India,India,India,133 Runs,59 Runs,7 Wickets,2014
317,Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,7 Wickets,59 Runs,5 Wickets,2014
318,England,India,India,India,6 Wickets,59 Runs,7 Wickets,2014
319,Australia,South Africa,Australia,Australia,62 Runs,39 Runs,4 Wickets,2014
320,England,India,India,India,9 Wickets,59 Runs,7 Wickets,2014
321,England,India,England,India,41 Runs,57 Runs,6 Wickets,2014
322,Australia,South Africa,South Africa,Australia,6 Wickets,40 Runs,5 Wickets,2014
323,Australia,Pakistan,Australia,Australia,93 Runs,51 Runs,5 Wickets,2014
324,Australia,Pakistan,Australia,Australia,5 Wickets,51 Runs,5 Wickets,2014
325,Australia,Pakistan,Australia,Australia,1 Runs,51 Runs,5 Wickets,2014
326,New Zealand,South Africa,South Africa,South Africa,6 Wickets,46 Runs,5 Wickets,2014
327,New Zealand,South Africa,South Africa,South Africa,72 Runs,46 Runs,5 Wickets,2014
328,India,Sri Lanka,India,India,169 Runs,102 Runs,5 Wickets,2014
329,India,Sri Lanka,India,India,6 Wickets,102 Runs,5 Wickets,2014
330,India,Sri Lanka,India,India,6 Wickets,102 Runs,5 Wickets,2014
331,India,Sri Lanka,India,India,153 Runs,102 Runs,5 Wickets,2014
332,Australia,South Africa,Australia,Australia,32 Runs,39 Runs,4 Wickets,2014
333,Australia,South Africa,South Africa,Australia,3 Wickets,40 Runs,5 Wickets,2014
334,India,Sri Lanka,India,India,3 Wickets,102 Runs,5 Wickets,2014
335,Australia,South Africa,Australia,Australia,73 Runs,39 Runs,4 Wickets,2014
336,Australia,South Africa,Australia,Australia,3 Wickets,39 Runs,4 Wickets,2014
337,Australia,South Africa,Australia,Australia,2 Wickets,39 Runs,4 Wickets,2014
338,Sri Lanka,England,Sri Lanka,Sri Lanka,25 Runs,53 Runs,7 Wickets,2014
339,Sri Lanka,England,Sri Lanka,Sri Lanka,8 Wickets,53 Runs,7 Wickets,2014
340,Sri Lanka,England,England,Sri Lanka,5 Wickets,41 Runs,6 Wickets,2014
341,Sri Lanka,England,Sri Lanka,Sri Lanka,6 Wickets,53 Runs,7 Wickets,2014
342,New Zealand,Pakistan,Pakistan,New Zealand,3 Wickets,45 Runs,5 Wickets,2014
343,Sri Lanka,England,England,Sri Lanka,5 Wickets,41 Runs,6 Wickets,2014
344,New Zealand,Pakistan,New Zealand,New Zealand,4 Wickets,52 Runs,5 Wickets,2014
345,Sri Lanka,England,Sri Lanka,Sri Lanka,90 Runs,53 Runs,7 Wickets,2014
346,New Zealand,Pakistan,Pakistan,New Zealand,147 Runs,45 Runs,5 Wickets,2014
347,Sri Lanka,England,Sri Lanka,Sri Lanka,87 Runs,53 Runs,7 Wickets,2014
348,New Zealand,Pakistan,New Zealand,New Zealand,7 Runs,52 Runs,5 Wickets,2014
349,New Zealand,Pakistan,New Zealand,New Zealand,68 Runs,52 Runs,5 Wickets,2014
350,New Zealand,Sri Lanka,New Zealand,New Zealand,3 Wickets,72 Runs,6 Wickets,2015
351,New Zealand,Sri Lanka,Sri Lanka,New Zealand,6 Wickets,67 Runs,6 Wickets,2015
352,Australia,England,Australia,Australia,3 Wickets,60 Runs,4 Wickets,2015
353,Australia,India,Australia,Australia,4 Wickets,63 Runs,5 Wickets,2015
354,New Zealand,Sri Lanka,New Zealand,New Zealand,4 Wickets,72 Runs,6 Wickets,2015
355,England,India,England,England,9 Wickets,61 Runs,6 Wickets,2015
356,New Zealand,Sri Lanka,New Zealand,New Zealand,108 Runs,72 Runs,6 Wickets,2015
357,Australia,England,Australia,Australia,3 Wickets,60 Runs,4 Wickets,2015
358,New Zealand,Sri Lanka,New Zealand,New Zealand,120 Runs,72 Runs,6 Wickets,2015
359,New Zealand,Sri Lanka,Sri Lanka,New Zealand,34 Runs,67 Runs,6 Wickets,2015
360,England,India,England,England,3 Wickets,61 Runs,6 Wickets,2015
361,New Zealand,Pakistan,New Zealand,New Zealand,7 Wickets,60 Runs,5 Wickets,2015
362,Australia,England,Australia,Australia,112 Runs,60 Runs,4 Wickets,2015
363,New Zealand,Pakistan,New Zealand,New Zealand,119 Runs,60 Runs,5 Wickets,2015
364,New Zealand,Sri Lanka,New Zealand,New Zealand,98 Runs,72 Runs,6 Wickets,2015
365,Australia,England,Australia,Australia,111 Runs,60 Runs,4 Wickets,2015
366,India,Pakistan,India,India,76 Runs,67 Runs,7 Wickets,2015
367,Afghanistan,Bangladesh,Bangladesh,Bangladesh,105 Runs,60 Runs,6 Wickets,2015
368,New Zealand,England,New Zealand,New Zealand,8 Wickets,43 Runs,5 Wickets,2015
369,Afghanistan,Sri Lanka,Sri Lanka,Sri Lanka,4 Wickets,65 Runs,6 Wickets,2015
370,India,South Africa,India,South Africa,130 Runs,60 Runs,6 Wickets,2015
371,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,92 Runs,76 Runs,6 Wickets,2015
372,New Zealand,Australia,New Zealand,New Zealand,1 Runs,42 Runs,5 Wickets,2015
373,England,Sri Lanka,Sri Lanka,England,9 Wickets,61 Runs,7 Wickets,2015
374,Australia,Afghanistan,Australia,Australia,275 Runs,131 Runs,5 Wickets,2015
375,Pakistan,South Africa,Pakistan,Pakistan,29 Runs,35 Runs,7 Wickets,2015
376,New Zealand,Afghanistan,New Zealand,New Zealand,6 Wickets,102 Runs,5 Wickets,2015
377,Australia,Sri Lanka,Australia,Australia,64 Runs,55 Runs,6 Wickets,2015
378,Bangladesh,England,Bangladesh,Bangladesh,15 Runs,36 Runs,4 Wickets,2015
379,New Zealand,Bangladesh,New Zealand,New Zealand,3 Wickets,91 Runs,6 Wickets,2015
380,Afghanistan,England,England,England,9 Wickets,50 Runs,7 Wickets,2015
381,South Africa,Sri Lanka,South Africa,South Africa,9 Wickets,68 Runs,7 Wickets,2015
382,Bangladesh,India,India,India,109 Runs,76 Runs,6 Wickets,2015
383,Australia,Pakistan,Australia,Australia,6 Wickets,61 Runs,5 Wickets,2015
384,New Zealand,South Africa,New Zealand,New Zealand,4 Wickets,42 Runs,5 Wickets,2015
385,Australia,India,Australia,Australia,95 Runs,63 Runs,5 Wickets,2015
386,Australia,New Zealand,Australia,Australia,7 Wickets,72 Runs,5 Wickets,2015
387,Bangladesh,Pakistan,Bangladesh,Bangladesh,79 Runs,60 Runs,6 Wickets,2015
388,Bangladesh,Pakistan,Bangladesh,Bangladesh,7 Wickets,60 Runs,6 Wickets,2015
389,Bangladesh,Pakistan,Bangladesh,Bangladesh,8 Wickets,60 Runs,6 Wickets,2015
390,England,New Zealand,England,England,210 Runs,67 Runs,5 Wickets,2015
391,England,New Zealand,New Zealand,England,13 Runs,50 Runs,5 Wickets,2015
392,England,New Zealand,New Zealand,England,3 Wickets,50 Runs,5 Wickets,2015
393,England,New Zealand,England,England,7 Wickets,67 Runs,5 Wickets,2015
394,Bangladesh,India,Bangladesh,India,79 Runs,59 Runs,6 Wickets,2015
395,England,New Zealand,England,England,3 Wickets,67 Runs,5 Wickets,2015
396,Bangladesh,India,Bangladesh,India,6 Wickets,59 Runs,6 Wickets,2015
397,Bangladesh,India,India,India,77 Runs,76 Runs,6 Wickets,2015
398,Bangladesh,South Africa,South Africa,Bangladesh,8 Wickets,81 Runs,7 Wickets,2015
399,Sri Lanka,Pakistan,Pakistan,Pakistan,6 Wickets,61 Runs,5 Wickets,2015
400,Bangladesh,South Africa,Bangladesh,Bangladesh,7 Wickets,62 Runs,7 Wickets,2015
401,Bangladesh,South Africa,Bangladesh,Bangladesh,9 Wickets,62 Runs,7 Wickets,2015
402,Sri Lanka,Pakistan,Sri Lanka,Pakistan,2 Wickets,72 Runs,5 Wickets,2015
403,Sri Lanka,Pakistan,Pakistan,Pakistan,135 Runs,61 Runs,5 Wickets,2015
404,Sri Lanka,Pakistan,Pakistan,Pakistan,7 Wickets,61 Runs,5 Wickets,2015
405,Sri Lanka,Pakistan,Sri Lanka,Pakistan,165 Runs,72 Runs,5 Wickets,2015
406,South Africa,New Zealand,South Africa,South Africa,20 Runs,30 Runs,5 Wickets,2015
407,South Africa,New Zealand,New Zealand,South Africa,8 Wickets,26 Runs,5 Wickets,2015
408,South Africa,New Zealand,South Africa,South Africa,62 Runs,30 Runs,5 Wickets,2015
409,England,Australia,Australia,England,59 Runs,60 Runs,5 Wickets,2015
410,England,Australia,Australia,England,64 Runs,60 Runs,5 Wickets,2015
411,England,Australia,England,England,93 Runs,62 Runs,5 Wickets,2015
412,England,Australia,England,England,3 Wickets,62 Runs,5 Wickets,2015
413,England,Australia,Australia,England,8 Wickets,60 Runs,5 Wickets,2015
414,India,South Africa,South Africa,South Africa,5 Runs,67 Runs,6 Wickets,2015
415,India,South Africa,India,South Africa,22 Runs,60 Runs,6 Wickets,2015
416,India,South Africa,South Africa,South Africa,18 Runs,67 Runs,6 Wickets,2015
417,India,South Africa,India,South Africa,35 Runs,60 Runs,6 Wickets,2015
418,India,South Africa,South Africa,South Africa,214 Runs,67 Runs,6 Wickets,2015
419,England,Pakistan,Pakistan,England,6 Wickets,49 Runs,5 Wickets,2015
420,England,Pakistan,England,England,95 Runs,60 Runs,5 Wickets,2015
421,England,Pakistan,England,England,6 Wickets,60 Runs,5 Wickets,2015
422,England,Pakistan,England,England,84 Runs,60 Runs,5 Wickets,2015
423,New Zealand,Sri Lanka,New Zealand,New Zealand,7 Wickets,72 Runs,6 Wickets,2015
424,New Zealand,Sri Lanka,New Zealand,New Zealand,10 Wickets,72 Runs,6 Wickets,2015
425,New Zealand,Sri Lanka,Sri Lanka,New Zealand,8 Wickets,67 Runs,6 Wickets,2015
426,New Zealand,Sri Lanka,New Zealand,New Zealand,36 Runs,67 Runs,6 Wickets,2016
427,Australia,India,Australia,Australia,5 Wickets,61 Runs,5 Wickets,2016
428,Australia,India,Australia,Australia,7 Wickets,61 Runs,5 Wickets,2016
429,Australia,India,Australia,Australia,3 Wickets,61 Runs,5 Wickets,2016
430,Australia,India,Australia,Australia,25 Runs,61 Runs,5 Wickets,2016
431,Australia,India,India,Australia,6 Wickets,49 Runs,5 Wickets,2016
432,New Zealand,Pakistan,New Zealand,New Zealand,70 Runs,55 Runs,5 Wickets,2016
433,New Zealand,Pakistan,New Zealand,New Zealand,3 Wickets,55 Runs,5 Wickets,2016
434,New Zealand,Australia,New Zealand,New Zealand,159 Runs,44 Runs,5 Wickets,2016
435,South Africa,England,England,South Africa,39 Runs,28 Runs,5 Wickets,2016
436,New Zealand,Australia,Australia,New Zealand,4 Wickets,45 Runs,5 Wickets,2016
437,South Africa,England,England,South Africa,5 Wickets,28 Runs,5 Wickets,2016
438,New Zealand,Australia,New Zealand,New Zealand,55 Runs,44 Runs,5 Wickets,2016
439,South Africa,England,South Africa,South Africa,7 Wickets,26 Runs,5 Wickets,2016
440,South Africa,England,South Africa,South Africa,1 Runs,26 Runs,5 Wickets,2016
441,South Africa,England,South Africa,South Africa,5 Wickets,26 Runs,5 Wickets,2016
442,Australia,South Africa,South Africa,Australia,47 Runs,35 Runs,5 Wickets,2016
443,Australia,South Africa,Australia,Australia,36 Runs,36 Runs,4 Wickets,2016
444,England,Sri Lanka,England,England,10 Wickets,70 Runs,7 Wickets,2016
445,England,Sri Lanka,England,England,6 Wickets,70 Runs,7 Wickets,2016
446,England,Sri Lanka,England,England,122 Runs,70 Runs,7 Wickets,2016
447,Sri Lanka,Australia,Australia,Australia,3 Wickets,52 Runs,5 Wickets,2016
448,Sri Lanka,Australia,Sri Lanka,Australia,82 Runs,57 Runs,5 Wickets,2016
449,England,Pakistan,England,England,44 Runs,56 Runs,5 Wickets,2016
450,England,Pakistan,England,England,4 Wickets,56 Runs,5 Wickets,2016
451,Sri Lanka,Australia,Australia,Australia,2 Wickets,52 Runs,5 Wickets,2016
452,England,Pakistan,England,England,169 Runs,56 Runs,5 Wickets,2016
453,Sri Lanka,Australia,Australia,Australia,6 Wickets,52 Runs,5 Wickets,2016
454,England,Pakistan,England,England,4 Wickets,56 Runs,5 Wickets,2016
455,Sri Lanka,Australia,Australia,Australia,5 Wickets,52 Runs,5 Wickets,2016
456,England,Pakistan,Pakistan,England,4 Wickets,45 Runs,5 Wickets,2016
457,Bangladesh,Afghanistan,Bangladesh,Bangladesh,7 Runs,62 Runs,4 Wickets,2016
458,Bangladesh,Afghanistan,Afghanistan,Bangladesh,2 Wickets,64 Runs,4 Wickets,2016
459,South Africa,Australia,South Africa,South Africa,6 Wickets,69 Runs,5 Wickets,2016
460,Bangladesh,Afghanistan,Bangladesh,Bangladesh,141 Runs,62 Runs,4 Wickets,2016
461,South Africa,Australia,South Africa,South Africa,142 Runs,69 Runs,5 Wickets,2016
462,South Africa,Australia,South Africa,South Africa,4 Wickets,69 Runs,5 Wickets,2016
463,Bangladesh,England,England,England,21 Runs,42 Runs,4 Wickets,2016
464,South Africa,Australia,South Africa,South Africa,6 Wickets,69 Runs,5 Wickets,2016
465,Bangladesh,England,Bangladesh,England,34 Runs,32 Runs,4 Wickets,2016
466,Bangladesh,England,England,England,4 Wickets,42 Runs,4 Wickets,2016
467,South Africa,Australia,South Africa,South Africa,31 Runs,69 Runs,5 Wickets,2016
468,India,New Zealand,India,India,6 Wickets,64 Runs,7 Wickets,2016
469,India,New Zealand,New Zealand,India,6 Runs,54 Runs,6 Wickets,2016
470,India,New Zealand,India,India,7 Wickets,64 Runs,7 Wickets,2016
471,India,New Zealand,New Zealand,India,19 Runs,54 Runs,6 Wickets,2016
472,India,New Zealand,India,India,190 Runs,64 Runs,7 Wickets,2016
473,Australia,New Zealand,Australia,Australia,68 Runs,73 Runs,5 Wickets,2016
474,Australia,New Zealand,Australia,Australia,116 Runs,73 Runs,5 Wickets,2016
475,Australia,New Zealand,Australia,Australia,117 Runs,73 Runs,5 Wickets,2016
476,New Zealand,Bangladesh,New Zealand,New Zealand,77 Runs,87 Runs,6 Wickets,2016
477,New Zealand,Bangladesh,New Zealand,New Zealand,67 Runs,87 Runs,6 Wickets,2016
478,New Zealand,Bangladesh,New Zealand,New Zealand,8 Wickets,87 Runs,6 Wickets,2016
479,Australia,Pakistan,Australia,Australia,92 Runs,57 Runs,6 Wickets,2017
480,Australia,Pakistan,Pakistan,Australia,6 Wickets,50 Runs,6 Wickets,2017
481,India,England,India,India,3 Wickets,42 Runs,6 Wickets,2017
482,Australia,Pakistan,Australia,Australia,7 Wickets,57 Runs,6 Wickets,2017
483,India,England,India,India,15 Runs,42 Runs,6 Wickets,2017
484,Australia,Pakistan,Australia,Australia,86 Runs,57 Runs,6 Wickets,2017
485,India,England,England,India,5 Runs,25 Runs,6 Wickets,2017
486,Australia,Pakistan,Australia,Australia,57 Runs,57 Runs,6 Wickets,2017
487,South Africa,Sri Lanka,South Africa,South Africa,8 Wickets,68 Runs,8 Wickets,2017
488,New Zealand,Australia,New Zealand,New Zealand,6 Runs,33 Runs,6 Wickets,2017
489,South Africa,Sri Lanka,South Africa,South Africa,121 Runs,68 Runs,8 Wickets,2017
490,South Africa,Sri Lanka,South Africa,South Africa,7 Wickets,68 Runs,8 Wickets,2017
491,New Zealand,Australia,New Zealand,New Zealand,24 Runs,33 Runs,6 Wickets,2017
492,South Africa,Sri Lanka,South Africa,South Africa,40 Runs,68 Runs,8 Wickets,2017
493,South Africa,Sri Lanka,South Africa,South Africa,88 Runs,68 Runs,8 Wickets,2017
494,New Zealand,South Africa,South Africa,New Zealand,4 Wickets,39 Runs,5 Wickets,2017
495,New Zealand,South Africa,New Zealand,New Zealand,6 Runs,33 Runs,5 Wickets,2017
496,New Zealand,South Africa,South Africa,New Zealand,159 Runs,39 Runs,5 Wickets,2017
497,New Zealand,South Africa,New Zealand,New Zealand,7 Wickets,33 Runs,5 Wickets,2017
498,New Zealand,South Africa,South Africa,New Zealand,6 Wickets,39 Runs,5 Wickets,2017
499,Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,90 Runs,81 Runs,7 Wickets,2017
500,Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,70 Runs,81 Runs,7 Wickets,2017
501,Bangladesh,New Zealand,New Zealand,Bangladesh,4 Wickets,36 Runs,4 Wickets,2017
502,Bangladesh,New Zealand,Bangladesh,Bangladesh,5 Wickets,35 Runs,5 Wickets,2017
503,England,South Africa,England,England,72 Runs,49 Runs,6 Wickets,2017
504,England,South Africa,England,England,2 Runs,49 Runs,6 Wickets,2017
505,England,South Africa,South Africa,England,7 Wickets,49 Runs,6 Wickets,2017
506,England,Bangladesh,England,England,8 Wickets,98 Runs,7 Wickets,2017
507,South Africa,Sri Lanka,South Africa,South Africa,96 Runs,68 Runs,8 Wickets,2017
508,India,Pakistan,India,India,124 Runs,68 Runs,7 Wickets,2017
509,England,New Zealand,England,England,87 Runs,61 Runs,5 Wickets,2017
510,Pakistan,South Africa,Pakistan,Pakistan,19 Runs,25 Runs,7 Wickets,2017
511,India,Sri Lanka,Sri Lanka,India,7 Wickets,96 Runs,6 Wickets,2017
512,Bangladesh,New Zealand,Bangladesh,Bangladesh,5 Wickets,35 Runs,5 Wickets,2017
513,England,Australia,England,England,40 Runs,57 Runs,5 Wickets,2017
514,India,South Africa,India,India,8 Wickets,58 Runs,7 Wickets,2017
515,Pakistan,Sri Lanka,Pakistan,Pakistan,3 Wickets,57 Runs,6 Wickets,2017
516,England,Pakistan,Pakistan,England,8 Wickets,46 Runs,6 Wickets,2017
517,Bangladesh,India,India,India,9 Wickets,76 Runs,7 Wickets,2017
518,India,Pakistan,Pakistan,India,180 Runs,71 Runs,7 Wickets,2017
519,Sri Lanka,India,India,India,9 Wickets,80 Runs,7 Wickets,2017
520,Sri Lanka,India,India,India,3 Wickets,80 Runs,7 Wickets,2017
521,Sri Lanka,India,India,India,6 Wickets,80 Runs,7 Wickets,2017
522,Sri Lanka,India,India,India,168 Runs,80 Runs,7 Wickets,2017
523,Sri Lanka,India,India,India,6 Wickets,80 Runs,7 Wickets,2017
524,India,Australia,India,India,26 Runs,31 Runs,7 Wickets,2017
525,India,Australia,India,India,50 Runs,31 Runs,7 Wickets,2017
526,India,Australia,India,India,5 Wickets,31 Runs,7 Wickets,2017
527,India,Australia,Australia,India,21 Runs,28 Runs,7 Wickets,2017
528,India,Australia,India,India,7 Wickets,31 Runs,7 Wickets,2017
529,Pakistan,Sri Lanka,Pakistan,Pakistan,83 Runs,57 Runs,6 Wickets,2017
530,South Africa,Bangladesh,South Africa,South Africa,10 Wickets,109 Runs,8 Wickets,2017
531,Pakistan,Sri Lanka,Pakistan,Pakistan,32 Runs,57 Runs,6 Wickets,2017
532,South Africa,Bangladesh,South Africa,South Africa,104 Runs,109 Runs,8 Wickets,2017
533,Pakistan,Sri Lanka,Pakistan,Pakistan,7 Wickets,57 Runs,6 Wickets,2017
534,Pakistan,Sri Lanka,Pakistan,Pakistan,7 Wickets,57 Runs,6 Wickets,2017
535,India,New Zealand,New Zealand,India,6 Wickets,52 Runs,6 Wickets,2017
536,South Africa,Bangladesh,South Africa,South Africa,200 Runs,109 Runs,8 Wickets,2017
537,Pakistan,Sri Lanka,Pakistan,Pakistan,9 Wickets,57 Runs,6 Wickets,2017
538,India,New Zealand,India,India,6 Wickets,60 Runs,7 Wickets,2017
539,India,New Zealand,India,India,6 Runs,60 Runs,7 Wickets,2017
540,India,Sri Lanka,Sri Lanka,India,7 Wickets,96 Runs,6 Wickets,2017
541,India,Sri Lanka,India,India,141 Runs,106 Runs,7 Wickets,2017
542,India,Sri Lanka,India,India,8 Wickets,106 Runs,7 Wickets,2017
543,New Zealand,Pakistan,New Zealand,New Zealand,61 Runs,47 Runs,6 Wickets,2018
544,New Zealand,Pakistan,New Zealand,New Zealand,8 Wickets,47 Runs,6 Wickets,2018
545,New Zealand,Pakistan,New Zealand,New Zealand,183 Runs,47 Runs,6 Wickets,2018
546,Australia,England,England,England,5 Wickets,33 Runs,4 Wickets,2018
547,New Zealand,Pakistan,New Zealand,New Zealand,5 Wickets,47 Runs,6 Wickets,2018
548,New Zealand,Pakistan,New Zealand,New Zealand,15 Runs,47 Runs,6 Wickets,2018
549,Australia,England,England,England,4 Wickets,33 Runs,4 Wickets,2018
550,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,163 Runs,86 Runs,7 Wickets,2018
551,Australia,England,England,England,16 Runs,33 Runs,4 Wickets,2018
552,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,10 Wickets,78 Runs,7 Wickets,2018
553,Australia,England,Australia,England,3 Wickets,47 Runs,4 Wickets,2018
554,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,79 Runs,78 Runs,7 Wickets,2018
555,Australia,England,England,England,12 Runs,33 Runs,4 Wickets,2018
556,South Africa,India,India,India,6 Wickets,67 Runs,7 Wickets,2018
557,South Africa,India,India,India,9 Wickets,67 Runs,7 Wickets,2018
558,South Africa,India,India,India,124 Runs,67 Runs,7 Wickets,2018
559,South Africa,India,South Africa,India,5 Wickets,69 Runs,7 Wickets,2018
560,South Africa,India,India,India,73 Runs,67 Runs,7 Wickets,2018
561,South Africa,India,India,India,8 Wickets,67 Runs,7 Wickets,2018
562,New Zealand,England,New Zealand,England,3 Wickets,34 Runs,5 Wickets,2018
563,New Zealand,England,England,England,6 Wickets,30 Runs,6 Wickets,2018
564,New Zealand,England,England,England,4 Runs,30 Runs,6 Wickets,2018
565,New Zealand,England,New Zealand,England,5 Wickets,34 Runs,5 Wickets,2018
566,New Zealand,England,England,England,7 Wickets,30 Runs,6 Wickets,2018
567,England,Australia,England,England,3 Wickets,59 Runs,5 Wickets,2018
568,England,Australia,England,England,38 Runs,59 Runs,5 Wickets,2018
569,England,Australia,England,England,242 Runs,59 Runs,5 Wickets,2018
570,England,Australia,England,England,6 Wickets,59 Runs,5 Wickets,2018
571,England,Australia,England,England,1 Runs,59 Runs,5 Wickets,2018
572,England,India,India,England,8 Wickets,62 Runs,7 Wickets,2018
573,England,India,England,England,86 Runs,60 Runs,7 Wickets,2018
574,England,India,England,England,8 Wickets,60 Runs,7 Wickets,2018
575,Sri Lanka,South Africa,South Africa,South Africa,5 Wickets,67 Runs,5 Wickets,2018
576,Sri Lanka,South Africa,South Africa,South Africa,4 Wickets,67 Runs,5 Wickets,2018
577,Sri Lanka,South Africa,South Africa,South Africa,78 Runs,67 Runs,5 Wickets,2018
578,Sri Lanka,South Africa,Sri Lanka,South Africa,3 Runs,69 Runs,6 Wickets,2018
579,Sri Lanka,South Africa,Sri Lanka,South Africa,178 Runs,69 Runs,6 Wickets,2018
580,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,137 Runs,86 Runs,7 Wickets,2018
581,Afghanistan,Sri Lanka,Afghanistan,Sri Lanka,91 Runs,72 Runs,7 Wickets,2018
582,India,Pakistan,India,India,8 Wickets,64 Runs,7 Wickets,2018
583,Afghanistan,Bangladesh,Afghanistan,Bangladesh,136 Runs,74 Runs,7 Wickets,2018
584,Bangladesh,India,India,India,7 Wickets,75 Runs,6 Wickets,2018
585,Afghanistan,Pakistan,Pakistan,Pakistan,3 Wickets,56 Runs,5 Wickets,2018
586,India,Pakistan,India,India,9 Wickets,64 Runs,7 Wickets,2018
587,Afghanistan,Bangladesh,Bangladesh,Bangladesh,3 Runs,55 Runs,7 Wickets,2018
588,Bangladesh,Pakistan,Bangladesh,Bangladesh,37 Runs,55 Runs,6 Wickets,2018
589,Bangladesh,India,India,India,3 Wickets,75 Runs,6 Wickets,2018
590,Sri Lanka,England,England,England,31 Runs,33 Runs,6 Wickets,2018
591,Sri Lanka,England,England,England,7 Wickets,33 Runs,6 Wickets,2018
592,Sri Lanka,England,England,England,18 Runs,33 Runs,6 Wickets,2018
593,Sri Lanka,England,Sri Lanka,England,219 Runs,41 Runs,6 Wickets,2018
594,Australia,South Africa,South Africa,South Africa,6 Wickets,29 Runs,5 Wickets,2018
595,New Zealand,Pakistan,New Zealand,New Zealand,47 Runs,47 Runs,6 Wickets,2018
596,Australia,South Africa,Australia,South Africa,7 Runs,30 Runs,5 Wickets,2018
597,New Zealand,Pakistan,Pakistan,New Zealand,6 Wickets,43 Runs,5 Wickets,2018
598,Australia,South Africa,South Africa,South Africa,40 Runs,29 Runs,5 Wickets,2018
599,New Zealand,Sri Lanka,New Zealand,New Zealand,45 Runs,65 Runs,7 Wickets,2019
600,New Zealand,Sri Lanka,New Zealand,New Zealand,21 Runs,65 Runs,7 Wickets,2019
601,New Zealand,Sri Lanka,New Zealand,New Zealand,115 Runs,65 Runs,7 Wickets,2019
602,Australia,India,Australia,India,34 Runs,52 Runs,6 Wickets,2019
603,Australia,India,India,India,6 Wickets,41 Runs,6 Wickets,2019
604,Australia,India,India,India,7 Wickets,41 Runs,6 Wickets,2019
605,South Africa,Pakistan,Pakistan,South Africa,5 Wickets,25 Runs,5 Wickets,2019
606,South Africa,Pakistan,South Africa,South Africa,5 Wickets,31 Runs,6 Wickets,2019
607,New Zealand,India,India,India,8 Wickets,52 Runs,7 Wickets,2019
608,South Africa,Pakistan,South Africa,South Africa,13 Runs,31 Runs,6 Wickets,2019
609,New Zealand,India,India,India,90 Runs,52 Runs,7 Wickets,2019
610,South Africa,Pakistan,Pakistan,South Africa,8 Wickets,25 Runs,5 Wickets,2019
611,New Zealand,India,India,India,7 Wickets,52 Runs,7 Wickets,2019
612,South Africa,Pakistan,South Africa,South Africa,7 Wickets,31 Runs,6 Wickets,2019
613,New Zealand,India,New Zealand,India,8 Wickets,41 Runs,7 Wickets,2019
614,New Zealand,India,India,India,35 Runs,52 Runs,7 Wickets,2019
615,New Zealand,Bangladesh,New Zealand,New Zealand,8 Wickets,91 Runs,7 Wickets,2019
616,New Zealand,Bangladesh,New Zealand,New Zealand,8 Wickets,91 Runs,7 Wickets,2019
617,New Zealand,Bangladesh,New Zealand,New Zealand,88 Runs,91 Runs,7 Wickets,2019
618,India,Australia,India,Australia,6 Wickets,29 Runs,6 Wickets,2019
619,South Africa,Sri Lanka,South Africa,South Africa,8 Wickets,63 Runs,8 Wickets,2019
620,India,Australia,India,Australia,8 Runs,29 Runs,6 Wickets,2019
621,South Africa,Sri Lanka,South Africa,South Africa,113 Runs,63 Runs,8 Wickets,2019
622,India,Australia,Australia,Australia,32 Runs,26 Runs,6 Wickets,2019
623,India,Australia,Australia,Australia,4 Wickets,26 Runs,6 Wickets,2019
624,South Africa,Sri Lanka,South Africa,South Africa,71 Runs,63 Runs,8 Wickets,2019
625,India,Australia,Australia,Australia,35 Runs,26 Runs,6 Wickets,2019
626,South Africa,Sri Lanka,South Africa,South Africa,6 Wickets,63 Runs,8 Wickets,2019
627,South Africa,Sri Lanka,South Africa,South Africa,41 Runs,63 Runs,8 Wickets,2019
628,Australia,Pakistan,Australia,Australia,8 Wickets,49 Runs,6 Wickets,2019
629,Australia,Pakistan,Australia,Australia,8 Wickets,49 Runs,6 Wickets,2019
630,Australia,Pakistan,Australia,Australia,80 Runs,49 Runs,6 Wickets,2019
631,Australia,Pakistan,Australia,Australia,6 Runs,49 Runs,6 Wickets,2019
632,Australia,Pakistan,Australia,Australia,20 Runs,49 Runs,6 Wickets,2019
633,England,Pakistan,England,England,12 Runs,48 Runs,5 Wickets,2019
634,England,Pakistan,England,England,6 Wickets,48 Runs,5 Wickets,2019
635,England,Pakistan,England,England,3 Wickets,48 Runs,5 Wickets,2019
636,England,Pakistan,England,England,54 Runs,48 Runs,5 Wickets,2019
